Address,Total_Transactions,Sales_Count,Purchases_Count,BIO_Sold,BIO_Bought,WETH_From_Sales,WETH_To_Purchases,USD_From_Sales,USD_To_Purchases,Net_BIO_Position,Net_WETH_Position,Net_USD_Position,Trading_Type,Net_Position_Status,Average_Sale_Size_BIO,Average_Purchase_Size_BIO,Sales_USD_per_Transaction,Purchases_USD_per_Transaction
0x98C3d3183C4b8A650614ad179A1a98be0a8d6B8E,62,58,4,1957953.357386,106759.920228,47.222474,2.709395,160556.41,9211.94,1851193.437158,44.513080,151344.47,Active_Trader,Net_Seller,33757.816507,26689.980057,2768.21,2302.99
0x6747BcaF9bD5a5F0758Cbe08903490E45DdfACB5,3,3,0,168086.713239,0.000000,4.114724,0.000000,13990.06,0.00,168086.713239,4.114724,13990.06,Only_Seller,Net_Seller,56028.904413,0.000000,4663.35,0.00
0x0B570b66cF3b5eAb1FD10c89230cad58aA2FCb59,13,1,12,2093.093978,163081.326173,0.053105,3.774861,180.56,12834.53,-160988.232195,-3.721756,-12653.97,Active_Trader,Net_Buyer,2093.093978,13590.110514,180.56,1069.54
0x5141B82f5fFDa4c6fE1E372978F1C5427640a190,8,3,5,161952.000000,11877.621537,3.876067,0.286168,13178.63,972.97,150074.378463,3.589899,12205.66,Active_Trader,Net_Seller,53984.000000,2375.524307,4392.88,194.59
0x66a9893cC07D91D95644AEDD05D03f95e1dBA8Af,12,4,8,154257.572958,275371.565648,3.689480,6.729470,12544.23,22880.20,-121113.992690,-3.039990,-10335.96,Active_Trader,Net_Buyer,38564.393240,34421.445706,3136.06,2860.02
0xfbEedCFe378866DaB6abbaFd8B2986F5C1768737,78,38,40,621257.090165,727257.492939,15.553599,18.229084,52882.24,61978.89,-106000.402773,-2.675485,-9096.65,Active_Trader,Net_Buyer,16348.870794,18181.437323,1391.64,1549.47
0x2905d7e4D048d29954F81b02171DD313F457a4a4,1,1,0,100000.000000,0.000000,2.303509,0.000000,7831.93,0.00,100000.000000,2.303509,7831.93,Only_Seller,Net_Seller,100000.000000,0.000000,7831.93,0.00
0x3708F5c9533557B1633c7a255Ed385348488AeaE,6,6,0,78854.946217,0.000000,1.953565,0.000000,6642.12,0.00,78854.946217,1.953565,6642.12,Only_Seller,Net_Seller,13142.491036,0.000000,1107.02,0.00
0x111111125421cA6dc452d289314280a0f8842A65,2,2,0,64232.117075,0.000000,1.588340,0.000000,5400.36,0.00,64232.117075,1.588340,5400.36,Only_Seller,Net_Seller,32116.058538,0.000000,2700.18,0.00
0xEff6cb8b614999d130E537751Ee99724D01aA167,9,4,5,99617.321672,157522.387188,2.330742,3.769718,7924.52,12817.04,-57905.065517,-1.438975,-4892.52,Active_Trader,Net_Buyer,24904.330418,31504.477438,1981.13,2563.41
0x6E2c0F7C995E1e75b925512B1859eB3E9F9C11C0,4,1,3,104566.518503,57523.043139,2.432175,1.445339,8269.39,4914.15,47043.475364,0.986836,3355.24,Active_Trader,Net_Seller,104566.518503,19174.347713,8269.39,1638.05
0x8331f9ACcE69b02C281F40a00706f758665ccE77,1,1,0,39924.077862,0.000000,0.958025,0.000000,3257.28,0.00,39924.077862,0.958025,3257.28,Only_Seller,Net_Seller,39924.077862,0.000000,3257.28,0.00
0xDf31A70a21A1931e02033dBBa7DEaCe6c45cfd0f,6,2,4,11174.394636,44801.994047,0.266978,1.130124,907.73,3842.42,-33627.599411,-0.863147,-2934.70,Active_Trader,Net_Buyer,5587.197318,11200.498512,453.86,960.61
0x76600115C5Cbe56d82bDe2Af8CAfb3801AEE5EFe,1,1,0,23499.900000,0.000000,0.543205,0.000000,1846.90,0.00,23499.900000,0.543205,1846.90,Only_Seller,Net_Seller,23499.900000,0.000000,1846.90,0.00
0xE592427A0AEce92De3Edee1F18E0157C05861564,1,1,0,13250.971411,0.000000,0.328286,0.000000,1116.17,0.00,13250.971411,0.328286,1116.17,Only_Seller,Net_Seller,13250.971411,0.000000,1116.17,0.00
0x2E1Dee213BA8d7af0934C49a23187BabEACa8764,3,3,0,8854.292598,0.000000,0.207379,0.000000,705.09,0.00,8854.292598,0.207379,705.09,Only_Seller,Net_Seller,2951.430866,0.000000,235.03,0.00
0xfBd4cdB413E45a52E2C8312f670e9cE67E794C37,151,79,72,1372570.808257,1370372.212495,33.727204,33.792524,114672.49,114894.58,2198.595761,-0.065320,-222.09,Active_Trader,Net_Seller,17374.314029,19032.947396,1451.55,1595.76
0x8189AFcC5B73Dc90600FeE92e5267Aff1D192884,1,1,0,2063.000000,0.000000,0.047708,0.000000,162.21,0.00,2063.000000,0.047708,162.21,Only_Seller,Net_Seller,2063.000000,0.000000,162.21,0.00
0x7C81247aE0A35B03e3f4A704DCD6b101dcA53Abd,8,3,5,616.282951,822.517680,0.014804,0.020294,50.33,69.00,-206.234729,-0.005490,-18.67,Active_Trader,Balanced,205.427650,164.503536,16.78,13.80
0x00000000A991C429eE2Ec6df19d40fe0c80088B8,2,1,1,64614.165890,64614.166109,1.518351,1.515281,5162.39,5151.95,-0.000220,0.003070,10.44,Active_Trader,Balanced,64614.165890,64614.166109,5162.39,5151.95
